code,code_generated,name,owner,category,status,acq_date,cost,accum,book_value,remaining_life,method
AS-the tenant-0043,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0044,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0045,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0046,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0047,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0048,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0049,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0050,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0051,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0052,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0053,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0054,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0055,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0056,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0057,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0058,1,Damoda Battery Measurment Device,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,684541.0,0.0,0.0,0,
AS-the tenant-0059,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0060,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0061,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
AS-the tenant-0062,1,Damoda Base Radio PC Connector,PT the tenant,Komponen Drone,Unregistered Asset,2025-06-18,228180.0,0.0,0.0,0,
